Time,speed
1093,0.0
1111,0.0
2111,1.923768401145935
3109,2.3264174461364746
4103,3.511996030807495
5108,2.863283157348633
6105,3.131716012954712
7108,5.077853679656982
8100,2.6172196865081787
9106,2.773805618286133
10103,1.6777050495147705
11106,2.773805618286133
12107,3.93701434135437
13109,3.377779483795166
14105,2.2369399070739746
15122,2.5948503017425537
16108,4.339663505554199
17105,1.923768401145935
18104,2.1250929832458496
19104,3.131716012954712
20103,3.064607858657837
21103,3.422518253326416
22120,1.90139901638031
23103,5.256808757781982
24119,4.921267986297607
25105,2.0803542137145996
26119,2.3040480613708496
27106,2.5277421474456787
28103,3.288301944732666
29103,2.818544387817383
30105,2.930391311645508
31102,2.863283157348633
32101,2.908021926879883
33117,2.684328079223633
34107,2.5948503017425537
35116,2.773805618286133
36103,3.131716012954712
37116,2.885652542114258
38107,2.5501115322113037
39103,2.729066848754883
40115,1.99087655544281
41102,3.400148868560791
42114,3.444887399673462
43103,3.086977243423462
44114,1.94613778591156
45104,3.444887399673462
46113,2.3487868309020996
47113,4.250185966491699
48101,3.310671329498291
49113,2.840913772583008
50108,3.377779483795166
51113,3.064607858657837
52103,3.579103946685791
53112,2.975130319595337
54101,2.5053727626800537
55111,5.994999408721924
56111,3.80279803276062
57111,2.4830033779144287
58111,2.930391311645508
59106,2.2593092918395996
60111,2.1474623680114746
61106,3.265932559967041
62110,1.2079476118087769
63104,1.4092721939086914
64110,0.738190233707428
65110,1.968507170677185
66109,0.0
END

Time,xAccel
501,-0.1273374855518341
522,-0.046986162662506104
543,-0.06344148516654968
563,-0.1039654016494751
582,-0.16254448890686035
602,-0.07975026965141296
623,-0.024235069751739502
645,-0.1131332516670227
664,-0.1453503668308258
684,-0.045971572399139404
704,0.0017046928405761719
725,-0.04002881050109863
745,-0.15714076161384583
766,-0.1956811249256134
786,-0.0732392966747284
806,-0.043459415435791016
826,-0.05375504493713379
846,-0.19406658411026
866,-0.38726556301116943
886,-0.3594681918621063
907,-0.41726261377334595
927,-0.558365523815155
947,-0.5899596214294434
967,-0.37807878851890564
988,-0.336704283952713
1008,-0.6613484621047974
1028,-1.385206699371338
1048,-1.5591386556625366
1069,-1.521963119506836
1089,-0.7466572523117065
1110,-0.25296860933303833
1129,-0.674198567867279
1149,-1.2952940464019775
1170,-0.8908065557479858
1190,-0.7598968744277954
1210,-1.3115661144256592
1230,-1.7707995176315308
1250,-2.007744073867798
1271,-2.0789120197296143
1291,-1.972449779510498
1311,-1.8647289276123047
1332,-1.6515427827835083
1352,-1.2893943786621094
1372,-1.4649887084960938
1394,-1.6653234958648682
1413,-1.7152541875839233
1433,-1.568102478981018
1453,-1.1285841464996338
1473,-0.643108069896698
1494,-0.2716104984283447
1514,-0.43150976300239563
1534,-0.7067168951034546
1554,-0.774367094039917
1574,-0.5711430311203003
1594,-0.12203803658485413
1614,-0.08477070927619934
1635,-0.21323911845684052
1656,-0.20996762812137604
1679,0.0793469250202179
1696,0.45202815532684326
1716,0.5864826440811157
1736,0.9141722917556763
1757,1.0018010139465332
1779,-0.18024158477783203
1797,-1.0790424346923828
1817,-0.29200035333633423
1838,1.4231997728347778
1858,1.772932767868042
1878,2.210655689239502
1899,1.89466392993927
1919,1.1366636753082275
1939,1.344903826713562
1959,1.5531120300292969
1979,1.3909627199172974
