Time,speed
1087,0.6039738059043884
1487,0.5592349767684937
2486,0.0
3488,0.9171453714370728
4489,6.576603889465332
5487,6.777928352355957
6485,8.321416854858398
7501,9.305669784545898
8501,9.23856258392334
9485,9.32804012298584
10485,9.395147323608398
11486,10.603095054626465
12487,10.98337459564209
13486,10.961006164550781
14500,11.095222473144531
15500,10.670204162597656
16486,10.759681701660156
17499,10.759681701660156
18486,10.088600158691406
19485,9.95438289642334
20515,8.634588241577148
21487,8.120092391967773
22486,6.039738178253174
23498,6.039738178253174
24498,0.4473879933357239
25498,0.0
26498,0.0
27482,0.0
28498,4.831790447235107
29486,8.679327011108398
30497,8.478002548217773
31496,11.07285213470459
32496,12.661080360412598
33496,13.779549598693848
34496,15.39014720916748
35495,14.741435050964355
36495,14.853281021118164
37486,14.428262710571289
38495,13.824288368225098
39495,14.249307632446289
40495,12.213692665100098
41494,13.130837440490723
42494,12.012367248535156
43494,13.555856704711914
44485,13.734810829162598
45485,11.16232967376709
46493,11.766304969787598
47493,10.603095054626465
48492,11.207070350646973
49493,9.216192245483398
50492,9.574103355407715
51493,9.574103355407715
52492,5.905521869659424
53492,1.7000744342803955
54492,0.0
55492,0.6039738059043884
56492,0.0
57492,1.2974251508712769
58491,3.80279803276062
59492,4.854159832000732
60491,8.120092391967773
61491,10.245184898376465
62491,12.728188514709473
63491,14.025613784790039
64490,15.591471672058105
65490,16.061229705810547
66490,16.128337860107422
67490,16.620464324951172
68490,17.179698944091797
69490,17.425762176513672
70489,18.163951873779297
71489,18.231060028076172
72489,18.320537567138672
73489,18.56660270690918
74489,18.231060028076172
75489,16.419139862060547
76489,12.907143592834473
77505,12.347908973693848
78488,11.296547889709473
79488,9.77542781829834
80488,9.529364585876465
81488,8.791173934936523
82488,8.388525009155273
83488,5.614719390869141
84488,5.681827545166016
85487,6.308170795440674
86487,8.656957626342773
87487,12.437386512756348
88487,15.65857982635498
89487,19.439006805419922
90487,21.385147094726562
91487,21.743057250976562
92487,22.369400024414062
93503,23.308914184570312
94503,22.951004028320312
95486,22.704940795898438
96486,23.24180793762207
97486,23.06285285949707
98486,22.97337532043457
99488,23.51024055480957
100486,22.906265258789062
101501,23.219436645507812
102501,22.05622673034668
103486,21.474624633789062
104487,21.407514572143555
105484,19.68507194519043
106485,18.92451286315918
107500,15.994121551513672
108500,13.421640396118164
